iter	Passed	Remaining
693	1362	600
694	1363	598
695	1364	596
696	1368	594
697	1370	592
698	1371	590
699	1372	588
700	1375	586
701	1377	584
702	1378	582
703	1380	580
704	1382	578
705	1384	576
706	1385	574
707	1387	572
708	1389	570
709	1392	568
710	1393	566
711	1394	564
712	1397	562
713	1398	560
714	1399	558
715	1401	555
716	1402	553
717	1404	551
718	1405	549
719	1406	547
720	1408	544
721	1409	542
722	1410	540
723	1412	538
724	1413	536
725	1414	533
726	1415	531
727	1416	529
728	1418	527
729	1421	525
730	1422	523
731	1423	521
732	1427	520
733	1428	517
734	1430	515
735	1431	513
736	1434	511
737	1436	509
738	1443	509
739	1445	507
740	1447	505
741	1451	504
742	1452	502
743	1454	500
744	1455	498
745	1458	496
746	1459	494
747	1460	492
748	1461	489
749	1463	487
750	1465	485
751	1467	483
752	1469	481
753	1471	480
754	1473	478
755	1475	476
756	1477	474
757	1481	472
758	1483	470
759	1485	469
760	1488	467
761	1490	465
762	1492	463
763	1494	461
764	1496	459
765	1498	457
766	1499	455
767	1502	453
768	1504	451
769	1506	449
770	1509	448
771	1511	446
772	1513	444
773	1517	442
774	1518	440
775	1520	438
776	1521	436
777	1524	434
778	1526	432
779	1528	431
780	1532	429
781	1534	427
782	1537	425
783	1539	424
784	1542	422
785	1544	420
786	1548	419
787	1549	416
788	1551	414
789	1554	413
790	1556	411
791	1557	409
792	1558	406
793	1561	405
794	1563	403
795	1564	400
796	1566	398
797	1568	396
798	1570	395
799	1573	393
800	1575	391
801	1577	389
802	1578	387
803	1579	385
804	1581	383
805	1582	380
806	1584	379
807	1587	377
808	1589	375
809	1591	373
810	1592	371
811	1595	369
812	1598	367
813	1600	365
814	1601	363
815	1603	361
816	1605	359
817	1607	357
818	1608	355
819	1610	353
820	1611	351
821	1613	349
822	1615	347
823	1616	345
824	1618	343
825	1619	341
826	1621	339
827	1623	337
828	1625	335
829	1627	333
830	1630	331
831	1631	329
832	1633	327
833	1635	325
834	1637	323
835	1639	321
836	1641	319
837	1643	317
838	1645	315
839	1646	313
840	1648	311
841	1650	309
842	1651	307
843	1653	305
844	1654	303
845	1655	301
846	1659	299
847	1660	297
848	1661	295
849	1663	293
850	1666	291
851	1668	289
852	1669	287
853	1671	285
854	1673	283
855	1675	281
856	1676	279
857	1678	277
858	1680	275
859	1681	273
860	1682	271
861	1683	269
862	1684	267
863	1686	265
864	1688	263
865	1689	261
866	1690	259
867	1692	257
868	1694	255
869	1695	253
